I
640 Version - Iran FIR custom airways (from AIP, generated)
IMDAT  27.683333   51.183333 ALSER  27.179722   50.825556 1 050 600 G663
ABD    30.375278   48.220556 DEMPO  30.288056   48.724722 1 050 600 G665
DEMPO  30.288056   48.724722 VATAN  30.133333   49.592500 1 050 600 G665
VATAN  30.133333   49.592500 BOTAS  29.878056   50.920833 1 170 600 G665
BOTAS  29.878056   50.920833 KAVIL  29.805556   51.284444 1 170 600 G665
KAVIL  29.805556   51.284444 EGSIR  29.770833   51.459722 1 170 600 G665
EGSIR  29.770833   51.459722 ITSIM  29.671667   51.952222 1 170 600 G665
ITSIM  29.671667   51.952222 SYZ    29.540000   52.588611 1 170 600 G665
SYZ    29.540000   52.588611 VAVAS  29.280556   53.894444 1 160 600 G665
VAVAS  29.280556   53.894444 BOTUX  28.974444   55.368056 1 160 600 G665
BOTUX  28.974444   55.368056 SOLAK  28.865556   55.870833 1 160 600 G665
SOLAK  28.865556   55.870833 ASMET  28.799444   56.171944 1 160 600 G665
ASMET  28.799444   56.171944 NANTO  28.694444   56.641944 1 160 600 G665
NANTO  28.694444   56.641944 RIGUT  28.526667   57.373889 1 160 600 G665
RIGUT  28.526667   57.373889 NABOX  28.275000   58.433611 1 160 600 G665
NABOX  28.275000   58.433611 LOXOL  27.765556   60.760556 1 160 600 G665
LOXOL  27.765556   60.760556 ASVIB  26.956667   63.303333 1 200 600 G665
SYZ    29.540000   52.588611 KUPTO  28.405000   52.908889 1 130 600 G666
KUPTO  28.405000   52.908889 LAM    27.372778   53.183889 1 130 600 G666
LAM    27.372778   53.183889 LVA    26.811944   53.355833 1 130 600 G666
LVA    26.811944   53.355833 DATUT  26.558889   53.593889 1 080 600 G666
DATUT  26.558889   53.593889 ELIRA  26.351389   53.750556 1 080 600 G666
ELIRA  26.351389   53.750556 ORSAR  26.075000   53.958333 1 080 600 G666
PUTMA  37.800000   51.960000 GIVSI  37.175278   51.685833 1 150 600 G667
GIVSI  37.175278   51.685833 NSH    36.662778   51.464167 1 150 600 G667
NSH    36.662778   51.464167 DANEB  36.333611   51.402222 1 170 600 G667
DANEB  36.333611   51.402222 NAGMO  36.037222   51.348611 1 170 600 G667
NAGMO  36.037222   51.348611 TRN    35.696944   51.283611 1 170 600 G667
TRN    35.696944   51.283611 RUS    35.445278   50.905278 1 100 600 G667
RUS    35.445278   50.905278 SOGOL  35.141389   50.524444 1 090 600 G667
SOGOL  35.141389   50.524444 SAV    35.018333   50.371111 1 090 600 G667
SAV    35.018333   50.371111 ARK    34.136944   49.853611 1 140 600 G667
ARK    34.136944   49.853611 RASLA  33.200556   49.569167 1 140 600 G667
RASLA  33.200556   49.569167 ALTAX  32.503889   49.361667 1 150 600 G667
ALTAX  32.503889   49.361667 NAGRO  32.170833   49.263611 1 170 600 G667
NAGRO  32.170833   49.263611 RABIM  31.977500   49.206944 1 170 600 G667
RABIM  31.977500   49.206944 EGVAX  31.726944   49.133889 1 170 600 G667
EGVAX  31.726944   49.133889 AWZ    31.337500   48.764444 1 170 600 G667
AWZ    31.337500   48.764444 GABSU  30.888611   48.509722 1 050 600 G667
GABSU  30.888611   48.509722 ABD    30.375278   48.220556 1 050 600 G667
NANPI  29.082500   49.532500 VELUT  29.166944   49.894722 1 050 600 G669
VELUT  29.166944   49.894722 KHG    29.263889   50.316667 1 050 600 G669
KHG    29.263889   50.316667 IVERA  29.384167   51.261111 1 150 600 G669
IVERA  29.384167   51.261111 RUBAK  29.438056   51.705000 1 150 600 G669
RST    37.326111   49.615833 MODIL  37.823611   49.688056 1 030 600 G670
MODIL  37.823611   49.688056 RIKIS  38.041667   49.719722 1 030 600 G670
RIKIS  38.041667   49.719722 LALDA  38.270833   49.753056 1 030 600 G670
ORPAB  37.700000   58.575000 MIDMO  37.095278   59.023333 1 160 600 G775
MIDMO  37.095278   59.023333 MSD    36.231111   59.650556 1 160 600 G775
MSD    36.231111   59.650556 NOTSO  35.237778   59.509444 1 170 600 G775
NOTSO  35.237778   59.509444 ASVIS  33.775833   59.307778 1 140 600 G775
ASVIS  33.775833   59.307778 BOPEB  33.320278   59.246667 1 140 600 G775
BOPEB  33.320278   59.246667 BJD    32.972222   59.200000 1 140 600 G775
BJD    32.972222   59.200000 ODBES  32.513889   59.432222 1 140 600 G775
ODBES  32.513889   59.432222 ELOKA  31.390278   59.989444 1 130 600 G775
ELOKA  31.390278   59.989444 LUDAX  29.949444   60.683611 1 130 600 G775
LUDAX  29.949444   60.683611 ZDN    29.486667   60.901389 1 130 600 G775
BONAM  38.050000   44.300000 TUDNU  37.883611   44.746389 1 150 600 G781
TUDNU  37.883611   44.746389 UMH    37.687222   45.084167 1 150 600 G781
UMH    37.687222   45.084167 TUBAR  37.505000   45.435833 1 130 600 G781
TUBAR  37.505000   45.435833 ROVON  37.266944   45.889444 1 130 600 G781
ROVON  37.266944   45.889444 ZAJ    36.779444   48.353056 1 130 600 G781
ZAJ    36.779444   48.353056 LABKA  36.695000   50.728333 1 260 600 G781
LABKA  36.695000   50.728333 NSH    36.662778   51.464167 1 260 600 G781
PAMTU  35.168333   61.135000 TANBU  35.572778   60.575000 1 260 600 G792
TANBU  35.572778   60.575000 MSD    36.231111   59.650556 1 260 600 G792
MSD    36.231111   59.650556 BOTEK  36.798611   58.626111 1 130 600 G792
BOTEK  36.798611   58.626111 SILPO  37.135000   58.001667 1 130 600 G792
SILPO  37.135000   58.001667 BRD    37.495000   57.323056 1 130 600 G792
BRD    37.495000   57.323056 GIRUN  38.103333   56.338333 1 160 600 G792
ARK    34.136944   49.853611 ENASU  35.137778   50.025833 1 200 600 J3
SAV    35.018333   50.371111 DEKBA  34.362500   50.142222 1 170 180 J6
PAROT  36.191111   49.978056 TRN    35.696944   51.283611 1 160 600 J7
TRN    35.696944   51.283611 RADAL  34.906389   52.339722 1 130 600 J7
DENDA  24.706667   60.914167 METBI  24.932222   61.471111 1 060 600 R462
MAGRI  38.902222   46.383333 DARUN  38.560833   46.709722 1 280 600 R654
DARUN  38.560833   46.709722 GODNA  38.342500   46.915833 1 280 600 R654
GODNA  38.342500   46.915833 BUDED  37.886944   47.342222 1 280 600 R654
BUDED  37.886944   47.342222 DAMOS  37.438611   47.755833 1 280 600 R654
DAMOS  37.438611   47.755833 ZAJ    36.779444   48.353056 1 280 600 R654
ZAJ    36.779444   48.353056 TULGU  36.476667   48.709722 1 130 600 R654
TULGU  36.476667   48.709722 SAV    35.018333   50.371111 1 130 600 R654
SAV    35.018333   50.371111 EGVEL  34.716111   50.501389 1 160 600 R654
EGVEL  34.716111   50.501389 PEKAM  33.484444   51.021667 1 160 600 R654
PEKAM  33.484444   51.021667 ISN    32.746944   51.827778 1 150 600 R654
ISN    32.746944   51.827778 LADAL  32.373889   52.928611 1 160 600 R654
LADAL  32.373889   52.928611 TOVTA  32.091111   53.739167 1 160 600 R654
TOVTA  32.091111   53.739167 YZD    31.897500   54.282500 1 160 600 R654
YZD    31.897500   54.282500 BOMUN  31.613333   54.765278 1 160 600 R654
BOMUN  31.613333   54.765278 UKVEV  31.099167   55.621667 1 160 600 R654
UKVEV  31.099167   55.621667 KER    30.282778   56.942222 1 160 600 R654
KER    30.282778   56.942222 ALKUL  29.864444   57.259722 1 160 600 R654
ALKUL  29.864444   57.259722 PEDUK  28.988889   57.913056 1 160 600 R654
