I
610 Version - Iran FIR custom (from AIP, generated)
  37.811389   45.496944 RABEM
  31.977500   49.206944 RABIM
  34.906389   52.339722 RADAL
  26.194444   55.788611 RADEB
  30.412222   51.436944 RADID
  31.860000   49.870000 RADOV
  30.302500   56.055556 RAF
  26.593611   52.226944 RAGAS
  33.513333   45.896667 RAGET
  38.691944   45.555278 RAGIN
  37.939167   47.120000 RAKED
  37.477778   49.020000 RALGO
  35.485833   58.828056 RAMIL
  32.544444   52.988056 RANDU
  30.020833   61.013333 RANRU
  35.581667   53.368889 RAPKI
  36.388889   52.658333 RAPSU
  36.841667   49.771944 RARTA
  33.200556   49.569167 RASLA
  33.560000   53.447500 RERET
  33.370833   57.907778 RETOX
  35.204444   51.353333 REVUR
  35.980556   46.659722 REXAN
  29.868889   52.156389 REXEB
  38.940000   45.225556 REXUS
  33.483889   56.605556 RIBEN
  37.284722   56.873889 RIBOB
  36.020000   58.446389 RIBUX
  37.595278   51.681111 RIGAN
  35.105000   47.943333 RIGOX
  28.526667   57.373889 RIGUT
  29.893611   54.540000 RIKAS
  38.041667   49.719722 RIKIS
  37.673889   58.247222 RIKOP
  35.611667   51.575278 ROSEP
  32.970833   58.803889 ROSOS
  26.794722   54.610278 ROSUM
  27.544722   53.888889 ROTAL
  28.556389   49.802500 ROTOX
  33.525278   53.877778 ROVAD
  37.266944   45.889444 ROVON
  33.189722   57.360556 ROXEK
  36.903333   50.680278 RSR
  37.326111   49.615833 RST
  29.438056   51.705000 RUBAK
  35.531389   52.990278 RUBIL
  37.679167   46.961389 RUDAD
  36.669167   54.115556 RUDEX
  26.890000   58.060833 RUKOT
  35.445278   50.905278 RUS
  29.598333   52.906944 SADIA
  35.018333   50.371111 SAV
  36.169444   57.570833 SBZ
  26.787500   54.965833 SERDU
  35.531667   50.358333 SESBI
  29.578056   51.085833 SESMA
  37.937500   45.922778 SETNA
  26.038056   59.096944 SEVDA
  36.422778   55.088611 SHR
  38.745556   45.782500 SIBVU
  29.932778   58.693889 SILKO
  37.135000   58.001667 SILPO
  32.946667   56.936389 SIMDU
  25.914444   54.535000 SIR
  37.578333   46.822778 SISIL
  30.521111   58.789444 SITAK
  29.035278   52.925556 SITEN
  35.374722   49.513889 SIVIM
  37.598056   49.086389 SIVIT
  36.508056   46.523056 SIVOR
  33.021944   52.002500 SIVUD
  35.238611   47.008056 SNJ
  35.744722   50.878333 SOBUR
  28.186944   61.614444 SODOK
  35.266667   59.972778 SOGES
  35.141389   50.524444 SOGOL
